country,year,iso_code,population,gdp,co2,co2_per_capita,consumption_co2,consumption_co2_per_capita,cumulative_co2,share_global_co2,share_global_cumulative_co2,share_population,fair_share_ratio,trade_gap_pct,times_world_avg
Sint Maarten (Dutch part),2023,SXM,42775.0,,0.691,16.157,,,61.505,0.002,0.003,0.0005286258182476231,5.675091712215078,,3.4318181818181817
Slovakia,2023,SVK,5518057.0,,30.766,5.576,35.035,6.349,3999.231,0.081,0.221,0.06819374393365339,3.2407664875390014,13.875706949229667,1.1843670348343245
Slovenia,2023,SVN,2118394.0,,12.012,5.67,19.735,9.316,898.65,0.032,0.05,0.026179725578512104,1.9098748705387194,64.29403929403928,1.2043330501274425
Solomon Islands,2023,SLB,800014.0,,0.282,0.352,,,11.315,0.001,0.001,0.009886804333361868,0.10114491662645902,,0.07476635514018691
Somalia,2023,SOM,18358622.0,,1.296,0.071,,,40.613,0.003,0.002,0.22688115900990796,0.0088151876900129,,0.015080713678844518
South Africa,2023,ZAF,63212386.0,,436.604,6.907,325.381,5.147,22387.137,1.146,1.236,0.7811969438371617,1.5821874493375396,-25.47457192329892,1.4670773152081562
South Korea,2023,KOR,51748744.0,,589.178,11.385,708.865,13.698,20123.871,1.547,1.111,0.6395259413275691,1.7372242910017295,20.314234407937843,2.4182242990654204
South Sudan,2023,SSD,11483370.0,,1.666,0.145,,,43.835,0.004,0.002,0.14191480683787744,0.014092962140904629,,0.03079864061172472
Spain,2023,ESP,47911583.0,,215.461,4.497,260.615,5.44,15479.886,0.566,0.855,0.5921051961873502,1.4440001633248059,20.956924919126894,0.9551826677994901
Sri Lanka,2023,LKA,22971615.0,,19.166,0.834,46.439,2.022,547.046,0.05,0.03,0.28388986033534475,0.10567478515985923,142.29886256913284,0.1771452846219201
Sudan,2023,SDN,50042800.0,,17.716,0.354,,,499.222,0.047,0.028,0.6184433921075897,0.04527496025881845,,0.0751911639762107
